C,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Avg Accuracy,Stdev
0.1,85.49107143,85.49107143,85.26785714,84.59821429,83.25892857,84.59821429,84.82142857,84.59821429,85.04464286,84.82142857,85.49107143,85.26785714,85.49107143,85.9375,85.04464286,85.04464286,84.82142857,85.04464286,84.375,85.49107143,85.71428571,85.04464286,84.15178571,85.26785714,84.15178571,84.82142857,85.49107143,84.375,85.71428571,84.82142857,85.04464286,84.59821429,84.59821429,85.26785714,83.48214286,84.82142857,84.59821429,85.26785714,85.26785714,84.82142857,84.375,84.375,84.82142857,85.04464286,85.71428571,84.59821429,85.49107143,84.82142857,85.49107143,85.26785714,84.94642857,0.543328422
0.5,86.38392857,87.27678571,85.71428571,86.16071429,86.60714286,86.38392857,86.38392857,86.83035714,86.83035714,86.60714286,87.05357143,87.05357143,86.60714286,87.5,86.16071429,86.60714286,85.71428571,86.16071429,86.38392857,86.16071429,85.9375,86.38392857,85.9375,86.83035714,85.04464286,87.27678571,87.5,86.38392857,86.38392857,85.49107143,86.16071429,86.16071429,86.16071429,86.38392857,85.9375,85.9375,86.60714286,86.60714286,87.27678571,86.16071429,86.16071429,85.71428571,86.16071429,86.16071429,87.05357143,87.05357143,87.5,86.16071429,86.16071429,86.60714286,86.4375,0.536548791
1,87.27678571,87.27678571,87.27678571,85.9375,85.49107143,87.05357143,85.9375,86.83035714,87.05357143,87.27678571,86.38392857,86.60714286,86.38392857,86.38392857,86.16071429,85.9375,86.83035714,85.04464286,86.60714286,87.05357143,85.9375,85.26785714,86.38392857,86.16071429,87.27678571,86.38392857,86.16071429,86.83035714,86.60714286,85.9375,86.83035714,86.38392857,85.26785714,86.83035714,86.83035714,85.26785714,87.94642857,85.49107143,87.27678571,86.60714286,86.38392857,85.9375,86.83035714,86.38392857,85.71428571,86.38392857,86.16071429,85.71428571,86.83035714,85.71428571,86.41071429,0.641950486
5,87.5,86.16071429,86.83035714,86.60714286,87.5,87.5,86.38392857,86.83035714,87.5,87.5,86.38392857,85.9375,86.83035714,84.375,87.72321429,86.38392857,87.27678571,86.60714286,87.94642857,86.60714286,86.16071429,86.16071429,86.38392857,87.72321429,87.05357143,86.38392857,86.60714286,86.38392857,87.72321429,86.60714286,85.9375,87.05357143,85.71428571,87.5,85.71428571,86.38392857,85.71428571,86.60714286,87.05357143,86.83035714,88.16964286,86.38392857,86.38392857,87.5,85.26785714,87.05357143,86.60714286,86.83035714,85.49107143,86.38392857,86.68303571,0.744577375
10,86.83035714,85.26785714,86.60714286,86.83035714,85.49107143,85.49107143,86.38392857,86.83035714,85.71428571,86.60714286,86.16071429,86.16071429,85.26785714,85.71428571,87.27678571,85.71428571,85.9375,87.72321429,85.49107143,85.71428571,85.9375,87.05357143,86.60714286,85.71428571,85.49107143,86.38392857,87.05357143,85.49107143,86.16071429,85.49107143,85.04464286,85.9375,86.38392857,86.60714286,87.27678571,87.05357143,88.39285714,87.27678571,84.82142857,86.83035714,85.9375,85.9375,86.38392857,86.38392857,86.38392857,86.60714286,87.72321429,86.83035714,86.83035714,87.05357143,86.32589286,0.755692703
50,82.58928571,84.375,85.71428571,86.83035714,83.92857143,85.49107143,85.9375,84.375,84.375,86.16071429,85.26785714,84.15178571,85.26785714,84.375,83.70535714,86.60714286,83.25892857,84.82142857,85.26785714,85.49107143,85.49107143,83.92857143,84.15178571,84.59821429,84.375,84.15178571,85.71428571,82.36607143,85.04464286,86.38392857,83.70535714,85.49107143,84.15178571,83.92857143,83.92857143,83.48214286,86.38392857,82.14285714,82.8125,83.25892857,85.04464286,85.9375,84.375,83.70535714,84.59821429,85.49107143,86.16071429,83.25892857,85.26785714,82.58928571,84.59821429,1.167283496
100,84.59821429,83.25892857,83.70535714,83.92857143,83.92857143,84.375,83.70535714,84.82142857,82.36607143,85.04464286,81.91964286,83.92857143,83.03571429,83.70535714,81.91964286,85.49107143,83.92857143,83.03571429,84.59821429,83.03571429,84.15178571,84.15178571,83.48214286,83.25892857,81.91964286,81.69642857,83.92857143,83.25892857,83.03571429,82.8125,83.48214286,82.8125,83.03571429,85.49107143,82.14285714,84.59821429,83.48214286,84.82142857,84.375,85.04464286,83.70535714,83.48214286,85.26785714,83.70535714,85.49107143,84.375,82.8125,83.25892857,84.59821429,81.25,83.66517857,1.036906249
500,81.02678571,80.13392857,82.14285714,79.91071429,79.6875,81.69642857,79.01785714,79.46428571,79.91071429,81.02678571,78.57142857,80.13392857,81.91964286,80.80357143,81.25,81.91964286,79.6875,80.13392857,80.13392857,80.13392857,81.47321429,79.46428571,79.91071429,82.58928571,81.69642857,79.01785714,80.80357143,80.13392857,80.80357143,80.35714286,80.13392857,80.58035714,80.80357143,80.35714286,78.34821429,79.24107143,80.58035714,81.69642857,81.02678571,81.47321429,81.91964286,79.24107143,80.13392857,81.47321429,80.58035714,81.69642857,80.13392857,79.6875,80.13392857,80.58035714,80.49553571,0.968138713
1000,79.01785714,81.02678571,79.91071429,80.80357143,79.91071429,80.35714286,79.46428571,78.125,80.13392857,78.125,79.91071429,78.34821429,81.02678571,79.46428571,81.47321429,76.5625,78.125,78.79464286,80.58035714,78.34821429,79.46428571,79.91071429,77.23214286,81.02678571,76.78571429,77.45535714,80.58035714,79.6875,78.57142857,78.125,79.46428571,79.91071429,78.57142857,78.125,81.47321429,81.02678571,78.79464286,79.6875,78.57142857,79.6875,80.13392857,77.45535714,79.46428571,80.58035714,77.67857143,78.34821429,79.46428571,79.01785714,81.47321429,80.58035714,79.35714286,1.270910072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
