C,gamma,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Avg Accuracy,stdev
0.1,0.001,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.1,0.01,60.26785714,59.82142857,60.26785714,58.92857143,61.16071429,60.04464286,60.26785714,59.15178571,60.9375,59.375,59.15178571,61.16071429,59.15178571,59.375,58.92857143,61.38392857,60.26785714,59.59821429,59.15178571,61.38392857,59.82142857,58.70535714,60.49107143,60.71428571,59.59821429,59.82142857,57.8125,59.82142857,59.375,60.71428571,59.375,58.70535714,60.71428571,59.375,59.375,61.38392857,59.59821429,60.71428571,60.71428571,59.59821429,59.82142857,60.71428571,58.03571429,60.71428571,60.26785714,59.375,59.82142857,60.71428571,60.49107143,59.59821429,59.91517857,0.842573213
0.1,0.1,81.69642857,80.58035714,80.80357143,80.13392857,81.25,80.58035714,81.47321429,81.91964286,80.80357143,80.80357143,80.58035714,81.02678571,80.58035714,80.35714286,80.80357143,80.80357143,81.25,82.14285714,81.25,80.80357143,80.80357143,81.02678571,80.13392857,81.25,81.47321429,81.47321429,80.58035714,80.80357143,80.58035714,81.25,81.47321429,80.80357143,81.25,80.35714286,81.02678571,81.69642857,81.25,81.47321429,80.13392857,81.25,81.69642857,80.80357143,81.02678571,80.35714286,80.35714286,80.35714286,80.13392857,80.58035714,81.02678571,81.47321429,80.95089286,0.495256977
0.1,1,76.78571429,76.5625,76.5625,77.23214286,76.78571429,77.23214286,76.78571429,77.00892857,77.23214286,76.5625,76.78571429,77.00892857,76.5625,77.23214286,76.33928571,76.78571429,77.45535714,76.78571429,77.45535714,77.23214286,76.11607143,76.78571429,76.33928571,76.78571429,77.00892857,76.33928571,75.89285714,76.33928571,76.33928571,76.78571429,77.23214286,76.11607143,75.66964286,77.23214286,77.45535714,76.11607143,77.00892857,75.89285714,76.5625,76.5625,77.23214286,76.5625,76.33928571,76.78571429,76.78571429,77.45535714,76.33928571,76.78571429,77.23214286,76.5625,76.74107143,0.444145034
0.1,10,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.1,50,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.1,100,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.1,500,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.1,1000,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.5,0.001,43.30357143,43.52678571,43.75,43.52678571,43.52678571,43.08035714,43.52678571,43.30357143,43.75,43.30357143,43.75,43.75,43.52678571,43.52678571,43.30357143,43.30357143,43.75,43.75,43.30357143,43.52678571,43.75,43.08035714,43.75,43.30357143,43.52678571,43.30357143,43.30357143,43.30357143,43.30357143,43.75,43.52678571,43.30357143,43.75,43.75,43.52678571,43.30357143,43.30357143,43.08035714,43.52678571,43.75,43.52678571,43.52678571,43.52678571,43.30357143,43.30357143,43.30357143,43.30357143,43.75,43.30357143,43.75,43.47767857,0.208078292
0.5,0.01,78.79464286,78.34821429,78.79464286,78.79464286,78.34821429,78.34821429,77.67857143,79.01785714,78.57142857,79.01785714,78.57142857,78.57142857,79.01785714,79.01785714,78.79464286,78.79464286,79.01785714,78.34821429,78.57142857,79.24107143,78.57142857,78.125,78.57142857,78.79464286,79.01785714,77.90178571,78.57142857,79.24107143,78.34821429,79.01785714,79.46428571,77.90178571,79.24107143,78.57142857,79.01785714,78.79464286,78.79464286,78.34821429,78.79464286,78.79464286,78.79464286,78.79464286,78.79464286,79.01785714,79.24107143,78.34821429,78.57142857,79.6875,79.24107143,78.79464286,78.73660714,0.395228111
0.5,0.1,85.9375,85.49107143,85.04464286,85.26785714,85.04464286,84.82142857,85.26785714,85.04464286,85.9375,85.9375,83.70535714,84.59821429,85.49107143,84.82142857,85.49107143,84.82142857,84.59821429,84.82142857,84.59821429,85.71428571,84.82142857,85.71428571,85.49107143,85.26785714,84.375,84.82142857,85.71428571,85.26785714,85.04464286,84.82142857,85.49107143,85.26785714,85.9375,85.49107143,84.59821429,84.59821429,85.26785714,85.49107143,84.82142857,85.26785714,85.49107143,85.49107143,85.26785714,85.26785714,84.375,85.9375,85.04464286,85.26785714,84.59821429,85.49107143,85.16517857,0.481937821
0.5,1,87.27678571,86.16071429,86.83035714,85.9375,86.38392857,85.71428571,86.16071429,86.60714286,86.16071429,85.9375,85.9375,85.71428571,86.60714286,86.60714286,86.38392857,86.38392857,87.27678571,86.16071429,86.16071429,86.16071429,86.83035714,85.9375,86.38392857,85.49107143,85.04464286,86.60714286,86.60714286,87.05357143,85.9375,86.16071429,86.38392857,86.60714286,86.60714286,86.60714286,86.60714286,86.38392857,86.16071429,85.9375,86.16071429,86.38392857,86.60714286,86.83035714,86.60714286,86.38392857,86.60714286,85.71428571,86.38392857,86.16071429,87.05357143,86.16071429,86.33928571,0.434890998
0.5,10,64.73214286,66.74107143,66.07142857,66.07142857,66.51785714,66.29464286,63.61607143,64.73214286,66.29464286,66.07142857,66.74107143,67.41071429,65.17857143,64.50892857,64.0625,64.0625,66.96428571,66.96428571,64.73214286,66.74107143,65.84821429,63.61607143,63.83928571,65.84821429,63.61607143,66.74107143,65.40178571,64.73214286,66.96428571,64.28571429,66.51785714,65.40178571,65.84821429,68.08035714,66.07142857,63.61607143,65.84821429,65.625,63.61607143,63.61607143,66.29464286,66.51785714,65.40178571,64.95535714,63.16964286,66.51785714,63.83928571,63.83928571,65.84821429,65.17857143,65.42410714,1.237680401
0.5,50,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.5,100,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.5,500,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
0.5,1000,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
1,0.001,58.70535714,60.9375,61.38392857,60.04464286,60.04464286,59.15178571,60.49107143,60.04464286,60.26785714,59.375,60.9375,59.15178571,60.26785714,61.16071429,60.9375,60.04464286,60.04464286,60.26785714,58.92857143,58.03571429,61.38392857,60.71428571,61.83035714,59.15178571,60.71428571,60.04464286,59.15178571,60.71428571,60.49107143,60.9375,59.59821429,60.26785714,60.04464286,59.375,61.60714286,60.26785714,59.59821429,60.71428571,60.49107143,59.375,59.82142857,57.8125,61.16071429,59.59821429,59.59821429,60.04464286,60.71428571,59.15178571,60.04464286,60.04464286,60.09375,0.858355348
1,0.01,81.91964286,82.8125,82.36607143,82.36607143,82.14285714,82.14285714,82.8125,83.25892857,82.58928571,82.36607143,81.47321429,82.36607143,82.58928571,81.91964286,82.8125,82.36607143,81.25,83.25892857,81.91964286,81.47321429,82.36607143,82.36607143,82.58928571,81.69642857,81.91964286,82.14285714,82.36607143,81.69642857,82.58928571,81.69642857,82.8125,82.36607143,82.58928571,82.8125,82.14285714,82.14285714,81.91964286,82.14285714,82.36607143,82.58928571,82.36607143,82.8125,82.36607143,82.14285714,82.14285714,81.91964286,82.14285714,81.69642857,82.14285714,82.58928571,82.27678571,0.430189336
