C,gamma,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Avg Accuracy,stdev
0.1,0.001,68.30357143,68.52678571,68.75,68.08035714,68.30357143,68.08035714,68.30357143,69.19642857,68.30357143,69.41964286,68.08035714,68.52678571,68.30357143,68.30357143,67.85714286,67.85714286,68.97321429,67.85714286,68.97321429,69.19642857,68.30357143,68.08035714,69.64285714,68.08035714,68.52678571,69.41964286,68.97321429,69.19642857,68.97321429,68.97321429,67.85714286,68.52678571,68.75,68.30357143,68.08035714,68.08035714,68.75,68.75,68.97321429,67.85714286,67.63392857,68.75,68.30357143,68.08035714,68.52678571,67.85714286,69.19642857,68.52678571,68.75,68.75,68.51339286,0.488642782
0.1,0.01,68.08035714,68.52678571,68.75,68.75,68.08035714,68.52678571,68.75,68.75,68.97321429,68.30357143,68.08035714,67.1875,68.52678571,68.97321429,68.08035714,68.97321429,67.85714286,68.52678571,68.08035714,69.19642857,68.08035714,68.52678571,68.30357143,68.52678571,67.41071429,68.75,67.63392857,68.08035714,68.52678571,68.30357143,68.97321429,68.08035714,68.30357143,68.52678571,67.41071429,67.63392857,68.08035714,68.75,68.75,68.75,68.08035714,68.97321429,68.30357143,68.52678571,68.08035714,68.08035714,68.08035714,68.75,67.85714286,67.63392857,68.33482143,0.462119477
0.1,0.1,68.30357143,67.85714286,69.19642857,68.52678571,68.30357143,68.52678571,68.08035714,68.08035714,67.63392857,69.19642857,68.97321429,68.75,69.41964286,68.75,68.52678571,68.75,68.30357143,68.52678571,67.41071429,68.30357143,68.08035714,69.41964286,68.75,68.08035714,68.75,68.08035714,68.08035714,68.30357143,68.75,68.30357143,69.41964286,68.97321429,67.63392857,67.85714286,68.52678571,67.85714286,67.63392857,68.75,69.41964286,68.52678571,69.19642857,68.75,68.97321429,68.52678571,68.08035714,68.97321429,67.63392857,67.85714286,67.85714286,68.75,68.46428571,0.533660421
0.1,1,68.08035714,68.08035714,67.85714286,68.75,69.19642857,68.08035714,68.75,67.85714286,67.63392857,69.19642857,68.97321429,68.52678571,67.85714286,68.30357143,68.08035714,68.30357143,67.63392857,68.08035714,66.74107143,68.52678571,68.08035714,68.75,68.52678571,68.30357143,68.08035714,68.75,67.63392857,68.52678571,68.97321429,69.64285714,68.30357143,68.08035714,68.08035714,68.52678571,68.08035714,68.30357143,68.52678571,68.08035714,68.30357143,68.08035714,68.08035714,68.52678571,68.08035714,68.97321429,68.75,68.97321429,68.52678571,68.30357143,68.08035714,68.97321429,68.34821429,0.496057053
0.1,10,68.52678571,67.85714286,68.97321429,69.19642857,67.63392857,68.52678571,67.85714286,68.08035714,68.97321429,69.19642857,68.52678571,69.41964286,68.75,68.97321429,69.41964286,67.1875,68.97321429,68.75,66.96428571,67.85714286,68.52678571,68.97321429,68.75,68.75,68.08035714,68.08035714,68.75,68.30357143,67.63392857,68.52678571,68.52678571,68.75,68.52678571,68.08035714,67.85714286,69.19642857,69.19642857,67.41071429,69.19642857,67.85714286,68.97321429,68.75,68.97321429,68.97321429,67.85714286,68.75,68.08035714,67.85714286,68.08035714,68.08035714,68.45982143,0.593574951
0.1,50,67.85714286,69.19642857,68.97321429,68.52678571,68.30357143,68.08035714,68.75,67.85714286,68.75,68.97321429,68.08035714,67.85714286,67.85714286,68.08035714,67.85714286,68.52678571,69.64285714,69.86607143,68.08035714,68.30357143,68.97321429,68.75,68.30357143,69.41964286,68.08035714,67.63392857,68.75,68.08035714,68.30357143,68.75,68.30357143,68.97321429,67.63392857,68.30357143,67.85714286,68.97321429,69.64285714,68.08035714,68.30357143,68.52678571,68.97321429,68.30357143,68.75,69.19642857,68.08035714,68.08035714,68.75,67.41071429,68.30357143,68.08035714,68.45982143,0.558263438
0.1,100,67.85714286,68.08035714,68.52678571,68.52678571,68.52678571,68.52678571,68.52678571,68.52678571,68.97321429,68.30357143,68.75,68.08035714,68.30357143,68.52678571,67.63392857,68.52678571,68.52678571,68.97321429,68.08035714,68.30357143,68.75,68.52678571,68.75,68.08035714,68.30357143,67.63392857,68.97321429,68.52678571,67.63392857,68.30357143,68.75,68.75,68.97321429,68.97321429,68.30357143,67.85714286,68.30357143,68.30357143,68.30357143,68.75,67.63392857,68.52678571,68.08035714,68.52678571,68.30357143,68.52678571,68.75,68.97321429,68.75,68.30357143,68.42410714,0.369705483
0.1,500,68.52678571,67.85714286,68.30357143,68.75,67.63392857,67.41071429,67.63392857,68.52678571,68.08035714,67.85714286,67.63392857,68.30357143,66.74107143,69.19642857,68.75,68.30357143,68.97321429,68.30357143,69.19642857,67.63392857,68.75,68.52678571,68.97321429,67.41071429,69.19642857,68.75,69.86607143,68.52678571,67.63392857,68.97321429,68.52678571,68.75,68.08035714,69.19642857,68.97321429,68.75,68.30357143,67.85714286,68.97321429,67.63392857,68.75,68.52678571,68.52678571,68.08035714,68.30357143,68.08035714,68.75,67.1875,68.52678571,69.19642857,68.38392857,0.624479167
0.1,1000,68.52678571,68.97321429,67.85714286,68.97321429,68.08035714,68.75,68.30357143,68.97321429,69.41964286,69.86607143,67.85714286,68.30357143,68.30357143,68.30357143,67.85714286,67.63392857,68.52678571,68.52678571,68.30357143,67.63392857,69.86607143,68.30357143,68.30357143,68.75,68.75,68.08035714,68.75,68.08035714,68.08035714,68.30357143,69.41964286,68.75,67.1875,68.30357143,68.52678571,68.75,68.97321429,68.08035714,69.64285714,68.75,68.52678571,68.30357143,68.30357143,67.85714286,68.30357143,69.41964286,68.08035714,69.19642857,68.30357143,68.75,68.51339286,0.569372811
0.5,0.001,77.67857143,77.23214286,77.45535714,78.79464286,77.67857143,78.125,78.125,77.67857143,77.67857143,78.34821429,77.90178571,77.67857143,78.57142857,78.125,79.01785714,77.67857143,78.57142857,78.125,77.45535714,77.90178571,78.125,78.57142857,77.67857143,78.34821429,77.45535714,78.57142857,77.45535714,77.90178571,78.34821429,78.34821429,77.67857143,78.57142857,77.67857143,78.57142857,77.90178571,78.79464286,77.67857143,77.90178571,78.125,78.125,77.90178571,77.67857143,77.67857143,77.45535714,78.34821429,78.125,77.45535714,78.125,78.34821429,78.57142857,78.02678571,0.430567358
